Date,Close
5/16/2014,96.62
5/23/2014,97.04
5/30/2014,97.34
6/6/2014,98.12
6/13/2014,97.64
6/20/2014,100.13
6/27/2014,96.92
7/3/2014,96.63
7/11/2014,96.45
7/18/2014,93.85
7/25/2014,92.53
8/1/2014,89.1
8/8/2014,90.4
8/15/2014,91.42
8/22/2014,91.99
8/29/2014,91.42
9/5/2014,90.58
9/12/2014,92.67
9/19/2014,93.86
9/26/2014,93.21
10/3/2014,93.69
10/10/2014,93.22
10/17/2014,92.01
10/24/2014,94.13
10/31/2014,95.91
11/7/2014,96.43
11/14/2014,96.06
11/21/2014,96.29
11/28/2014,100.28
12/5/2014,99.8
12/12/2014,98.52
12/19/2014,105.27
12/26/2014,106.41
1/2/2015,103.71
1/9/2015,106.41
1/16/2015,110.66
1/23/2015,108.62
1/30/2015,102.21
2/6/2015,105.53
2/13/2015,106.02
2/20/2015,107.24
2/27/2015,103.78
3/6/2015,99.65
3/13/2015,99.88
3/20/2015,102.09
3/27/2015,101.89
4/2/2015,100.75
4/10/2015,100.09
4/17/2015,100.27
4/24/2015,94.63
5/1/2015,93.6
5/8/2015,94.44
5/15/2015,96.18
5/22/2015,93.53
5/29/2015,92.86
6/5/2015,90.87
6/12/2015,91.04
6/19/2015,89.04
6/26/2015,88.55
7/2/2015,90.04
7/10/2015,91.87
7/17/2015,91.51
7/24/2015,90.2
7/31/2015,92.89
8/7/2015,89.73
8/14/2015,91.35
8/21/2015,89.52
8/28/2015,90.2
9/4/2015,89.72
9/11/2015,91.21
9/18/2015,92.46
9/25/2015,92.56
10/2/2015,94.31
10/9/2015,96.56
10/16/2015,95.28
10/23/2015,95.67
10/30/2015,88.69
11/6/2015,86.16
11/13/2015,83.82
11/20/2015,84.59
11/27/2015,87
12/4/2015,86.5
12/11/2015,87.43
12/18/2015,88.76
12/24/2015,90.32
12/31/2015,89.27
1/8/2016,84.92
1/15/2016,83.32
1/22/2016,85.25
1/29/2016,88.11
2/5/2016,87.7
2/12/2016,89.7
2/19/2016,91.03
2/26/2016,90.62
3/4/2016,93.18
3/11/2016,92.72
3/18/2016,90.98
3/24/2016,90.07
4/1/2016,93.71
4/8/2016,91.81
4/15/2016,93.51
4/22/2016,90.55
4/29/2016,93.11
5/6/2016,91.61
5/13/2016,92.44
5/20/2016,90.77
5/27/2016,92.6
6/3/2016,93.5
6/10/2016,96.4
6/17/2016,97.11
6/24/2016,97.97
7/1/2016,111.95
7/8/2016,110.7
7/15/2016,110.66
7/22/2016,109.95
7/29/2016,110.76
8/5/2016,111.65
8/12/2016,111.47
8/19/2016,113.62
8/26/2016,110.88
9/2/2016,99.3
9/9/2016,96.18
9/16/2016,95.48
9/23/2016,95.85
9/30/2016,95.6
10/7/2016,95.21
10/14/2016,96.43
10/21/2016,95.36
10/28/2016,102.4
11/4/2016,100
11/11/2016,97.25
11/18/2016,98.56
